[00:00:00 -> 00:00:02]  Oh my God!
[00:14:55 -> 00:15:00]  Although college is a stepping stone for you to reach your career,
[00:15:00 -> 00:15:04]  you always have to take care of yourself first.
[00:15:04 -> 00:15:05]  Next!
[00:15:05 -> 00:15:08]  Be smart in picking your classes and your professors.
[00:15:08 -> 00:15:10]  This is really important.
[00:15:10 -> 00:15:13]  You have to take advantage of your electives.
[00:15:13 -> 00:15:16]  Yung electives is yung mga free classes nyo that aren't required.
[00:15:16 -> 00:15:21]  Actually, for me, most of my electives were, believe it or not, theater classes.
[00:15:21 -> 00:15:26]  And it was so freeing for me because after a hard acad's day,
[00:15:26 -> 00:15:30]  I would have this class where I could just completely let loose.
[00:15:30 -> 00:15:32]  And just have fun.
[00:15:32 -> 00:15:33]  And I'll never regret that.
[00:15:33 -> 00:15:38]  As in, that's one of the best decisions I've taken during my whole college life.
[00:15:39 -> 00:15:43]  Next is also, you can check online ratings from your professors.
[00:15:43 -> 00:15:46]  Eto, late ko na nalaman to, like second year or third year na ata.
[00:15:46 -> 00:15:49]  But when I found out about it, wow.
[00:15:49 -> 00:15:50]  My life was so much easier.
[00:15:50 -> 00:15:54]  When I would choose my classes, I would go to this site.
[00:15:54 -> 00:15:58]  They removed it now kasi maraming nag-trash talk sa mga professors.
[00:15:58 -> 00:16:02]  But alam ko, UP Ateneo Lasal has those kinds of groups
[00:16:02 -> 00:16:06]  where they talk about the professors, they talk about the classes,
[00:16:06 -> 00:16:08]  which professors you should take.
[00:16:08 -> 00:16:12]  So if you have ates or kuyas in your courses,
[00:16:12 -> 00:16:16]  you should definitely ask them before enrolling a class.
[00:16:16 -> 00:16:20]  Because before you enlist a class, you have to always remember that it's a commitment.
[00:16:20 -> 00:16:23]  And to pick the classes that you're most passionate about,
[00:16:23 -> 00:16:25]  pick professors that have good reputation,
[00:16:25 -> 00:16:29]  that you know you can learn and be inspired from.
[00:16:29 -> 00:16:34]  Because what really got me going through college was the classes I had.
[00:16:34 -> 00:16:35]  I really enjoyed them.
[00:16:35 -> 00:16:39]  And at the same time, the professors I took were really inspiring.
[00:16:39 -> 00:16:43]  And then at the same time, I was learning a lot from them.
[00:16:43 -> 00:16:47]  And next naman is my last point.
[00:16:47 -> 00:16:52]  These aren't questions, but these are like personal points from me
[00:16:52 -> 00:16:55]  that I think you guys would benefit from.
[00:16:55 -> 00:16:57]  So first of all,
[00:16:57 -> 00:17:00]  college is the time to reinvent yourself.
[00:17:00 -> 00:17:03]  You have to take advantage of this.
[00:17:03 -> 00:17:05]  Whoever you were in high school,
[00:17:05 -> 00:17:08]  whatever reputation you had, bad or good,
[00:17:08 -> 00:17:11]  that's completely gone. It's completely obsolete.
[00:17:11 -> 00:17:14]  Because in college, it's...
[00:17:14 -> 00:17:17]  everything's a restart.
[00:17:17 -> 00:17:21]  You don't know everyone who's with you, you don't know where they come from,
[00:17:21 -> 00:17:23]  you don't know who they were in high school.
[00:17:23 -> 00:17:26]  So you have to take advantage of this to reinvent yourself.
[00:17:26 -> 00:17:30]  Like make a list of the negative and the positive things about yourself.
[00:17:30 -> 00:17:35]  And make sure to remove all those negative things about yourself
[00:17:35 -> 00:17:40]  and start to make yourself a more positive person.
[00:17:40 -> 00:17:44]  Basically, make a version 2.0 of yourself.
[00:17:44 -> 00:17:47]  Version 2.0 for college, o diba?
[00:17:47 -> 00:17:49]  Next is,
[00:17:49 -> 00:17:52]  in college, you will definitely learn to be independent.
[00:17:52 -> 00:17:56]  In college, actually, I was forced to go to a condo.
[00:17:56 -> 00:17:59]  Because I live in Taguig and Yupid, Dalaman is in QC.
[00:17:59 -> 00:18:01]  So the travel time is really, really long.
[00:18:01 -> 00:18:05]  So I decided to go for the condo.
[00:18:05 -> 00:18:08]  And in college, you have to take advantage of this.
[00:18:08 -> 00:18:10]  Because during this time, you'll learn to be more independent.
[00:18:10 -> 00:18:12]  You'll have a lot of opportunities to grow and to learn.
[00:18:12 -> 00:18:14]  So learn how to cook.
[00:18:14 -> 00:18:16]  Learn how to...
[00:18:16 -> 00:18:18]  Learn how to be...
[00:18:18 -> 00:18:20]  Ano ba?
[00:18:20 -> 00:18:21]  Learn how to cook.
[00:18:21 -> 00:18:24]  Learn how to be on yourself, to be on your own, to live on your own.
[00:18:24 -> 00:18:26]  Learn how to clean the house.
[00:18:26 -> 00:18:28]  Basically, this is the time for you to learn how to do adulting.
[00:18:28 -> 00:18:30]  You have to take advantage of it.
[00:18:30 -> 00:18:32]  So when you come out of college, you'll basically be ready to face the world.
[00:18:32 -> 00:18:33]  Wow!
[00:18:33 -> 00:18:35]  Sucks!
[00:18:35 -> 00:18:38]  And the next is...
[00:18:38 -> 00:18:40]  Of course, enjoy.
[00:18:40 -> 00:18:44]  College will be a lot of fun.
[00:18:44 -> 00:18:48]  You'll meet a lot of friends you'll get to keep for your life.
[00:18:48 -> 00:18:49]  You'll have amazing memories.
[00:18:49 -> 00:18:52]  You'll laugh and then you'll cry.
[00:18:52 -> 00:18:53]  You have to cherish college.
[00:18:53 -> 00:19:00]  It's just not all about academics, preparing for your job, preparing for your future.
[00:19:00 -> 00:19:06]  College is basically about finding yourself, improving yourself, learning to become a better
[00:19:06 -> 00:19:07]  person.
[00:19:07 -> 00:19:08]  Talfalfa?
[00:19:08 -> 00:19:13]  Learning to become a better and more amazing person.
[00:19:13 -> 00:19:19]  Basically, learning to become the you that you envisioned for yourself ever since you
[00:19:19 -> 00:19:20]  were young.
[00:19:20 -> 00:19:21]  Okay, guys.
[00:19:21 -> 00:19:25]  So that's basically it for my college question and answer portion.
[00:19:25 -> 00:19:28]  If you like this video, please give this video a thumbs up.
[00:19:28 -> 00:19:34]  And don't forget to click on the subscribe button down below and wait for my next YouTube
[00:19:34 -> 00:19:35]  video upload.
[00:19:35 -> 00:19:38]  But that's basically it, guys.
[00:19:38 -> 00:19:39]  Thank you for watching.
[00:19:39 -> 00:19:45]  And if you have any questions, comments, suggestions, just comment down on the section box below.
[00:19:45 -> 00:19:47]  And so that's it.
[00:19:47 -> 00:19:48]  I hope you enjoyed this video.
[00:19:48 -> 00:19:49]  Bye!
[00:19:49 -> 00:19:50]  Bye!
