[00:00:00 -> 00:00:12]  Human resource management.
[00:26:53 -> 00:26:54]  Why do I say
[00:26:54 -> 00:26:55]  organization
[00:26:55 -> 00:26:56]  and not company?
[00:26:56 -> 00:26:57]  Because,
[00:26:57 -> 00:26:58]  I mean,
[00:26:59 -> 00:27:00]  is
[00:27:05 -> 00:27:06]  is the Red Cross
[00:27:06 -> 00:27:07]  is that a company?
[00:27:07 -> 00:27:08]  No,
[00:27:08 -> 00:27:09]  it's an organization.
[00:27:09 -> 00:27:10]  It's an organization.
[00:27:10 -> 00:27:11]  This university is not a company.
[00:27:11 -> 00:27:12]  It's an organization.
[00:27:12 -> 00:27:13]  UNICEF,
[00:27:13 -> 00:27:14]  it's an organization.
[00:27:15 -> 00:27:16]  Yeah?
[00:27:16 -> 00:27:17]  The UNO,
[00:27:17 -> 00:27:18]  it's an organization.
[00:27:18 -> 00:27:19]  The Christian Demographic Union,
[00:27:19 -> 00:27:20]  CDU in Germany,
[00:27:20 -> 00:27:21]  party,
[00:27:21 -> 00:27:22]  is
[00:27:22 -> 00:27:23]  an organization.
[00:27:23 -> 00:27:24]  But every company
[00:27:25 -> 00:27:26]  is also
[00:27:26 -> 00:27:27]  an organization.
[00:27:27 -> 00:27:28]  So,
[00:27:28 -> 00:27:29]  I rather use this term
[00:27:29 -> 00:27:30]  organization.
[00:27:30 -> 00:27:31]  It's about
[00:27:31 -> 00:27:32]  planned and controlled
[00:27:32 -> 00:27:33]  activities
[00:27:33 -> 00:27:34]  of an organization
[00:27:34 -> 00:27:35]  to do what?
[00:27:35 -> 00:27:36]  To build
[00:27:36 -> 00:27:37]  and maintain
[00:27:37 -> 00:27:38]  the relation
[00:27:38 -> 00:27:39]  between
[00:27:39 -> 00:27:40]  employees
[00:27:40 -> 00:27:41]  and the company.
[00:27:41 -> 00:27:42]  Yeah?
[00:27:42 -> 00:27:43]  Or the organization.
[00:27:43 -> 00:27:44]  To be more
[00:27:44 -> 00:27:45]  concrete.
[00:27:45 -> 00:27:46]  Relation.
[00:27:46 -> 00:27:47]  What does that mean?
[00:27:47 -> 00:27:48]  I mean,
[00:27:48 -> 00:27:49]  at one point
[00:27:49 -> 00:27:50]  of time,
[00:27:50 -> 00:27:51]  you
[00:27:51 -> 00:27:52]  you
[00:27:52 -> 00:27:53]  you
[00:27:53 -> 00:27:54]  you
[00:27:54 -> 00:27:55]  you
[00:27:55 -> 00:27:56]  you
[00:27:56 -> 00:27:57]  you
[00:27:57 -> 00:27:58]  you
[00:27:58 -> 00:27:59]  apply,
[00:27:59 -> 00:28:00]  yeah?
[00:28:00 -> 00:28:01]  You
[00:28:01 -> 00:28:02]  want to work
[00:28:02 -> 00:28:03]  at a company.
[00:28:03 -> 00:28:04]  This is the
[00:28:04 -> 00:28:05]  start of a
[00:28:05 -> 00:28:06]  relation.
[00:28:06 -> 00:28:07]  Or maybe the company
[00:28:07 -> 00:28:08]  wants to hire
[00:28:08 -> 00:28:09]  you.
[00:28:09 -> 00:28:10]  This is the
[00:28:10 -> 00:28:11]  start of a
[00:28:11 -> 00:28:12]  relation.
[00:28:12 -> 00:28:13]  Then you work
[00:28:13 -> 00:28:14]  with a company
[00:28:14 -> 00:28:15]  or with the
[00:28:15 -> 00:28:16]  organization.
[00:28:16 -> 00:28:17]  You give.
[00:28:17 -> 00:28:18]  You give your
[00:28:18 -> 00:28:19]  health.
[00:28:19 -> 00:28:20]  You give your
[00:28:20 -> 00:28:21]  time.
[00:28:21 -> 00:28:22]  You give your
[00:28:22 -> 00:28:23]  performance.
[00:28:23 -> 00:28:28]  And if you are strong, the company wants to retain you,
[00:28:28 -> 00:28:30]  doesn't want to lose you.
[00:28:30 -> 00:28:32]  So this is all about this relation
[00:28:32 -> 00:28:37]  between the people and the organization.
[00:28:37 -> 00:28:39]  To do what?
[00:28:39 -> 00:28:46]  To meet objectives of the organization.
[00:28:46 -> 00:28:52]  Could be revenue, can be profit, can be whatever, quality,
[00:28:52 -> 00:28:54]  and so on.
[00:28:54 -> 00:28:55]  But not only this.
[00:28:55 -> 00:29:01]  Organizations are not only there to achieve the organization's
[00:29:01 -> 00:29:02]  objectives.
[00:29:02 -> 00:29:08]  The people work there to get something else,
[00:29:08 -> 00:29:16]  to learn, to feed their children, and all this stuff.
[00:29:16 -> 00:29:17]  So it's about both.
[00:29:17 -> 00:29:20]  Now, we will see this through the entire lecture.
[00:29:20 -> 00:29:22]  It's always about both.
[00:29:22 -> 00:29:24]  Both sides.
[00:29:24 -> 00:29:27]  And these two things must be in balance.
[00:29:27 -> 00:29:31]  So before we make a short break, here
[00:29:31 -> 00:29:34]  is an overview for the next two semesters.
[00:29:37 -> 00:29:42]  I name it HR Landscape, HRM Landscape.
[00:29:42 -> 00:29:44]  So here is the organization.
[00:29:45 -> 00:29:48]  All right?
[00:29:48 -> 00:29:56]  And the first thing we talk about is the HR strategy.
[00:29:56 -> 00:30:01]  What is necessary in human resource management
[00:30:01 -> 00:30:09]  in the upcoming years to succeed and to plan this accordingly?
[00:30:09 -> 00:30:10]  This is a starting point.
[00:30:10 -> 00:30:13]  We're going to talk about this.
[00:30:13 -> 00:30:16]  Coming from there, once we know how many people we
[00:30:16 -> 00:30:18]  need in the future, what kind of competencies
[00:30:18 -> 00:30:21]  we need in the future, blah, blah, blah, blah, blah,
[00:30:21 -> 00:30:24]  now we start to acquire talent.
[00:30:24 -> 00:30:27]  Talent acquisition.
[00:30:27 -> 00:30:29]  Recruiting.
[00:30:29 -> 00:30:33]  How to hire people, how to find the right people,
[00:30:33 -> 00:30:38]  how to present a company as an attractive employer.
[00:30:38 -> 00:30:40]  This is what we're going to talk about.
[00:30:40 -> 00:30:45]  For, I would say, two or so sessions.
[00:30:45 -> 00:30:48]  Of course, you all know the job ad.
[00:30:48 -> 00:30:53]  But the job ad does not work for any jobs,
[00:30:53 -> 00:30:58]  especially for the most important jobs.
[00:30:58 -> 00:31:02]  The job ads, job advertisements, don't work anymore.
[00:31:02 -> 00:31:03]  Because of what?
[00:31:03 -> 00:31:08]  Because of the talent shortage, which I have just mentioned.
[00:31:08 -> 00:31:12]  So we have to have some different methods
[00:31:12 -> 00:31:15]  and strategies here.
[00:31:15 -> 00:31:22]  So once candidates apply, they will be selected.
[00:31:22 -> 00:31:26]  Imagine you have a couple of applications.
[00:31:26 -> 00:31:28]  You are in a lucky situation that you
[00:31:28 -> 00:31:33]  can choose among different applicants which one is the best.
[00:31:33 -> 00:31:37]  So for this, we do interviews, we do assessment centers,
[00:31:37 -> 00:31:39]  tests, and all this stuff.
[00:31:39 -> 00:31:41]  We're going to talk about this.
[00:31:41 -> 00:31:46]  What are the commonly used methods here?
[00:31:46 -> 00:31:54]  How can I tell whether a selection method is good or worse?
[00:31:54 -> 00:32:00]  And then people start working and get paid.
[00:32:00 -> 00:32:05]  So we're going to talk about money, compensation,
[00:32:05 -> 00:32:08]  and benefits.
[00:32:08 -> 00:32:13]  How can a company determine individual salaries,
[00:32:13 -> 00:32:15]  for instance?
[00:32:15 -> 00:32:18]  What are the commonly shared benefits in companies?
[00:32:18 -> 00:32:21]  And why do companies share benefits?
[00:32:21 -> 00:32:26]  Company car, insurances, and all this stuff.
[00:32:26 -> 00:32:30]  So we're going to spend one or two sessions around comp
[00:32:30 -> 00:32:34]  and ben, as we say.
[00:32:34 -> 00:32:39]  Then we walk over here.
[00:32:39 -> 00:32:45]  Nowadays, people in companies have to learn.
[00:32:45 -> 00:32:49]  You will learn through your entire life.
[00:32:49 -> 00:32:51]  You will never stop learning.
[00:32:51 -> 00:32:56]  Once you feel that in your job you stop learning,
[00:32:56 -> 00:32:59]  quit the job, really.
[00:32:59 -> 00:33:01]  You have to learn every day.
[00:33:01 -> 00:33:04]  It's so important.
[00:33:04 -> 00:33:08]  Once you stop learning, you start to lose.
[00:33:08 -> 00:33:09]  So learning.
[00:33:09 -> 00:33:11]  We're going to talk about training,
[00:33:11 -> 00:33:14]  how to set up a training, how to design a training.
[00:33:14 -> 00:33:18]  But we also talk about some alternative ways of learning,
[00:33:18 -> 00:33:22]  learning through the web, learning from others,
[00:33:22 -> 00:33:24]  informal learning, and all this stuff.
[00:33:24 -> 00:33:28]  So learning is about the short-term knowledge
[00:33:28 -> 00:33:31]  acquisition, so to speak.
[00:33:31 -> 00:33:35]  It's about, I learned how to use Excel.
[00:33:35 -> 00:33:37]  I learned how to use a pivot table in Excel.
[00:33:41 -> 00:33:45]  The other thing is your long-term development,
[00:33:45 -> 00:33:50]  which is presented here.
[00:33:50 -> 00:33:54]  Talent development.
[00:33:54 -> 00:33:59]  If you are strong in the company you work for,
[00:33:59 -> 00:34:03]  you might belong to the 5% to 10% people
[00:34:03 -> 00:34:07]  which are considered as high potentials, the most
[00:34:07 -> 00:34:09]  talented people in the company.
[00:34:09 -> 00:34:12]  And once you are identified as the most talented people
[00:34:12 -> 00:34:17]  in a company, you get some systematic support.
[00:34:17 -> 00:34:18]  You're going to learn.
[00:34:18 -> 00:34:21]  You will get some special challenges.
[00:34:21 -> 00:34:26]  You might get support by a mentor, a director, and so on.
[00:34:26 -> 00:34:29]  So we're going to talk about how companies
[00:34:29 -> 00:34:36]  build their future leaders, and how companies support
[00:34:36 -> 00:34:41]  the career of the most talented people.
[00:34:41 -> 00:34:44]  And that's it for this semester.
[00:34:49 -> 00:34:53]  In your fourth semester, we have quite a long break.
[00:34:53 -> 00:34:56]  We're going to talk about the workplace as such,
[00:34:56 -> 00:35:00]  how to shape the workplace in the future,
[00:35:00 -> 00:35:02]  how to retain talented people.
[00:35:02 -> 00:35:04]  We're going to talk about change management.
[00:35:04 -> 00:35:08]  And here, we have all these things
[00:35:08 -> 00:35:12]  that you need to have to run human resource
[00:35:12 -> 00:35:14]  management successfully.
[00:35:14 -> 00:35:18]  You have to have an organization, HR, IT.
[00:35:19 -> 00:35:25]  Information technology, social media, and HR controlling.
[00:35:25 -> 00:35:27]  So this is the entire picture.
[00:35:27 -> 00:35:33]  And again, my promise is that first, this picture really
[00:35:33 -> 00:35:36]  reflects modern human resource management.
[00:35:36 -> 00:35:39]  And you will be able to talk about all these things.
[00:35:39 -> 00:35:43]  And you have a modern, current understanding
[00:35:43 -> 00:35:45]  about all these concepts.
