[00:00:00 -> 00:00:02]  Fertighaus-Boom in Deutschland.
[00:18:13 -> 00:18:15]  Das hat 10 min, 15 min.
[00:18:15 -> 00:18:17]  Nicht lang auf jeden Fall.
[00:18:17 -> 00:18:19]  Licht brennt schon mal im Klo.
[00:18:19 -> 00:18:21]  Inzwischen ist es 8 Uhr.
[00:18:21 -> 00:18:23]  An den Ketten des Krans
[00:18:23 -> 00:18:27]  hängt bereits das 2. Modul, das Wohnzimmer.
[00:18:27 -> 00:18:29]  Das 24.000 kg schwere Bauteil
[00:18:29 -> 00:18:32]  ist genau neben der 1. Einheit zu platzieren.
[00:18:32 -> 00:18:34]  Läuft hier etwas schief,
[00:18:34 -> 00:18:37]  ist die gesamte Konstruktion gefährdet.
[00:18:41 -> 00:18:43]  Stopp!
[00:18:43 -> 00:18:45]  Andrücken!
[00:18:45 -> 00:18:48]  Die Bauherren sind fasziniert.
[00:18:48 -> 00:18:50]  Stopp!
[00:18:50 -> 00:18:53]  Das Modul rückt ein Stück nach außen.
[00:18:53 -> 00:18:55]  Jetzt müssen wir mal schnell schauen,
[00:18:55 -> 00:18:57]  ob oben das Styropor stört.
[00:18:57 -> 00:18:59]  Das Styropor steht oben zusammen.
[00:18:59 -> 00:19:02]  Müsst ihr mal auf der Seite was wegschneiden.
[00:19:02 -> 00:19:04]  Michel, nimmst du das weg?
[00:19:04 -> 00:19:06]  Machst oben 1 cm weg.
[00:19:06 -> 00:19:09]  Das Styropor hat jetzt einen gewissen Überstand.
[00:19:09 -> 00:19:12]  Jetzt drückst du es auseinander.
[00:19:12 -> 00:19:15]  Jetzt beseitigen wir oben das Styropor.
[00:19:15 -> 00:19:18]  Dann rücken wir es dahin, wo es gebraucht wird.
[00:19:18 -> 00:19:22]  Auf der rechten Seite müsste es wahrscheinlich etwas weg.
[00:19:22 -> 00:19:25]  Was nicht passt, wird passend gesägt.
[00:19:25 -> 00:19:28]  Die Hausbesitzer nehmen es gelassen.
[00:19:28 -> 00:19:32]  Die andere Seite steht auch 1,5 cm über.
[00:19:32 -> 00:19:35]  Das Styropor dient der Dämmung des Hauses.
[00:19:35 -> 00:19:37]  2. Versuch.
[00:19:38 -> 00:19:40]  Halt!
[00:19:40 -> 00:19:42]  Stopp!
[00:19:42 -> 00:19:44]  Langsamer!
[00:19:44 -> 00:19:46]  Langsamer!
[00:19:46 -> 00:19:48]  Es muss Anpassung sein.
[00:19:48 -> 00:19:50]  Es kann nicht alles flutschen.
[00:19:50 -> 00:19:52]  Es kann schon mal was sein.
[00:19:52 -> 00:19:54]  Es war nichts Großes.
[00:19:54 -> 00:19:56]  Nichts Unbekanntes.
[00:19:56 -> 00:19:58]  Das haben Sie sicher schon mal gehabt.
[00:19:58 -> 00:20:01]  Noch läuft alles mehr oder weniger nach Plan.
[00:20:01 -> 00:20:04]  Das 3. Modul ist bereits im Anflug.
[00:20:04 -> 00:20:07]  Durch die gewöhnliche Gewichtsverteilung
[00:20:07 -> 00:20:09]  hängt es leicht schräg.
[00:20:09 -> 00:20:12]  Das passgenaue Absetzen bedarf exakter Koordination.
[00:20:12 -> 00:20:14]  Gut!
[00:20:14 -> 00:20:17]  Beide innen noch mal 2 Tücher.
[00:20:17 -> 00:20:19]  Beide innen!
[00:20:19 -> 00:20:21]  Also, fertig.
[00:20:21 -> 00:20:23]  Stopp!
[00:20:23 -> 00:20:26]  Was wir hier machen, ist der schnellste Weg,
[00:20:26 -> 00:20:29]  in ein massives Eichenheim zu kommen.
[00:20:29 -> 00:20:31]  Sie haben die Doppelbelastung.
[00:20:31 -> 00:20:34]  Das heißt, aus Miete und Kredit vielleicht 4 Wochen.
[00:20:34 -> 00:20:36]  Sie können 2-3 Wochen,
[00:20:36 -> 00:20:39]  nachdem wir das Haus verlassen, eigentlich einziehen.
[00:20:39 -> 00:20:42]  Das schaffen unsere schnellsten Bauherren,
[00:20:42 -> 00:20:44]  die das perfekt koordiniert haben.
[00:20:44 -> 00:20:47]  Schneller und effektiver funktioniert das einfach nicht.
[00:20:47 -> 00:20:49]  So, gut!
[00:20:49 -> 00:20:51]  Kaffeepause.
[00:20:51 -> 00:20:54]  Der 55-Jährige ist das ganze Jahr auf Achse.
[00:20:54 -> 00:20:57]  Manuel und Tatjana haben sich heute freigenommen,
[00:20:57 -> 00:21:00]  auch um die Arbeiter ein wenig zu versorgen.
[00:21:00 -> 00:21:03]  Heute ist der 1. Tag auf der Schwäbischen Alb.
[00:21:03 -> 00:21:05]  Das Fertighaus von Familie Halmel
[00:21:05 -> 00:21:07]  wird auf dem Luftweg angeliefert.
[00:21:07 -> 00:21:10]  In schwindelnder Höhe schwebt die Außenwand
[00:21:10 -> 00:21:13]  von Michaels zukünftigem Arbeitszimmer.
[00:21:13 -> 00:21:15]  Und das Bürofenster. Genial!
[00:21:15 -> 00:21:18]  Der Rollladen ist ein bisschen rausgerollt.
[00:21:18 -> 00:21:21]  Das ist interessant, wo genau die Ecken aufeinanderstoßen.
[00:21:21 -> 00:21:23]  Ja.
[00:21:23 -> 00:21:26]  Was für Bauherrin Stefanie spannend erscheint,
[00:21:26 -> 00:21:28]  ist für den Bautrupp Routine.
[00:21:28 -> 00:21:31]  Hier nimmt das Haus Gestalt an.
[00:21:31 -> 00:21:34]  Wenn man hier von der Tür reinkommt,
[00:21:34 -> 00:21:36]  dann haben wir hier unsere Diele.
[00:21:36 -> 00:21:39]  Da geht es runter zum Keller, die Treppe.
[00:21:39 -> 00:21:42]  Da rechts haben wir die offene Wohnküche,
[00:21:42 -> 00:21:45]  Esstisch, Doppelflügeltür in den Garten raus.
[00:21:45 -> 00:21:47]  Da vorne steht dann der Ofen.
[00:21:47 -> 00:21:51]  Hier vorne an der Rückwand zum Treppenhaus steht die Couch.
[00:21:51 -> 00:21:53]  Achtung, die nächste Wand.
[00:21:53 -> 00:21:56]  Sie ist etwas ganz Besonderes.
[00:21:57 -> 00:22:00]  Jetzt kommt ein weiteres Herzstück rein.
[00:22:00 -> 00:22:02]  Krass!
[00:22:02 -> 00:22:06]  Das ist unsere Schiebetür, die wir bodeneben wollten.
[00:22:06 -> 00:22:10]  Wir wollten so gerne, dass man direkt raus kann in den Garten,
[00:22:10 -> 00:22:13]  ohne noch über eine Schwelle zu treten.
[00:22:13 -> 00:22:18]  Und das Fenster, wo mir meine Frau das Weißbier rausgibt zum Grillen.
[00:22:18 -> 00:22:21]  Das ist das Kleidchen hier, aber das reicht.
[00:22:21 -> 00:22:25]  Fertighäuser können heute persönlich gestaltet werden.
[00:22:25 -> 00:22:28]  Ideen mangelte es den Halmels dabei nicht.
[00:22:28 -> 00:22:33]  Irgendwann musst du unterschreiben, dass du nichts mehr änderst.
[00:22:33 -> 00:22:35]  Man ist ja schon geneigt,
[00:22:35 -> 00:22:38]  immer mal wieder die Wand nach um 5 cm.
[00:22:38 -> 00:22:40]  Doch noch was anderes zu machen.
[00:22:40 -> 00:22:43]  Irgendwann muss man einen Haken dran setzen.
[00:22:43 -> 00:22:45]  Zimmermeister Joachim Stenglein
[00:22:45 -> 00:22:48]  ist seit 3 Jahrzehnten im Fertighaus-Business.
[00:22:48 -> 00:22:52]  Ihn kann so schnell nichts aus der Ruhe bringen.
[00:22:53 -> 00:22:55]  Ganz anders sieht es aus,
[00:22:55 -> 00:22:59]  wenn man auf einmal ein solches Haus vor die Nase gestellt bekommt.
[00:22:59 -> 00:23:02]  Klaas König freut sich über seine neuen Nachbarn.
[00:23:02 -> 00:23:04]  Doch mit diesem Fertighaus
[00:23:04 -> 00:23:07]  muss er erst einmal selbst fertig werden.
[00:23:07 -> 00:23:10]  Das ist was ganz anderes als die anderen Häuser,
[00:23:10 -> 00:23:12]  die hier gebaut wurden.
[00:23:12 -> 00:23:15]  Das ist ein Erlebnis, das ist sehr imposant.
[00:23:15 -> 00:23:19]  Das ist für uns schon eine Sache, der Blick ist weg.
[00:23:19 -> 00:23:23]  Aber bisher sind alle Nachbarn sehr nett.
[00:23:23 -> 00:23:27]  Insofern lässt sich es verschmerzen.
[00:23:27 -> 00:23:31]  Aber es ist schon ein Schnitt.
[00:23:31 -> 00:23:36]  Solange es kein total furchtbar kahles Ding ist,
[00:23:36 -> 00:23:40]  ist es ein Anblick, mit dem ich mich anspalten kann.
[00:23:40 -> 00:23:43]  Und die Sicht von gegenüber?
[00:23:43 -> 00:23:45]  Morgen.
[00:23:45 -> 00:23:47]  Das ist ein Arbeitszimmer.
[00:23:47 -> 00:23:49]  Ja, richtig.
[00:23:49 -> 00:23:51]  Ich will auch.
[00:23:51 -> 00:23:54]  Ich bin im Homeoffice heute.
[00:23:54 -> 00:23:58]  Nach 4 h Montage stehen im Erdgeschoss bereits alle Wände.
[00:23:58 -> 00:24:02]  Dennoch wirkt der Chef des Bautrupps angespannt.
[00:24:02 -> 00:24:04]  Die Treppe kommt.
[00:24:04 -> 00:24:06]  Das Herzstück des Hauses
[00:24:06 -> 00:24:09]  ist eine Sonderanfertigung aus Eschenholz.
[00:24:09 -> 00:24:12]  Das darf auf keinen Fall beschädigt oder nass werden.
[00:24:12 -> 00:24:14]  Aber es ist ein großer Zeitdruck.
[00:24:14 -> 00:24:17]  Wir müssen schauen, dass die Decke draufkommt.
[00:24:17 -> 00:24:20]  Das ist das oberste Ziel, dass wir zu machen können.
[00:24:20 -> 00:24:23]  Dann können wir Folie drüberlegen, dann ist es dicht.
[00:24:23 -> 00:24:26]  Dann kann es heute Nacht regnen, schneien, egal.
[00:24:26 -> 00:24:29]  Gleich neben der Baustelle geht es ruhiger zu.
[00:24:29 -> 00:24:31]  Die Bauherren haben was zu feiern.
[00:24:31 -> 00:24:34]  Herzlichen Glückwunsch zum Geburtstag, mein Spatz.
[00:24:34 -> 00:24:37]  Bist du auch auf die Baustelle gekommen heute?
[00:24:37 -> 00:24:39]  Du hast deinen 2. Geburtstag.
[00:24:40 -> 00:24:42]  Ich kann dich gar nicht küssen.
[00:24:42 -> 00:24:46]  Schau mal, wir haben dir auch einen Bauhelm mitgebracht.
[00:24:46 -> 00:24:48]  Mama hat einen Helm auf.
[00:24:48 -> 00:24:50]  Papa hat einen Helm auf.
[00:24:50 -> 00:24:53]  Und der Matteo darf auch einen Bauhelm aufsetzen.
[00:24:53 -> 00:24:55]  Wow.
[00:24:55 -> 00:24:57]  Magst du ihn nicht haben?
[00:24:57 -> 00:25:00]  Musst du auch nicht, gar kein Problem.
[00:25:00 -> 00:25:03]  Gelegte Brötchen für die Bauarbeiter.
[00:25:03 -> 00:25:05]  Hallo.
[00:25:05 -> 00:25:07]  Und Geburtstagskuchen.
[00:25:07 -> 00:25:09]  Geburtstagskuchen.
[00:25:09 -> 00:25:11]  Gibt es auch.
[00:25:11 -> 00:25:13]  Wo ist denn der Opa?
[00:25:13 -> 00:25:17]  Gerade jetzt, wo wir beide Großeltern auch zu Hause haben,
[00:25:17 -> 00:25:20]  dass die hier bei uns auch schlafen können.
[00:25:20 -> 00:25:23]  In der Wohnung haben sie keinen Platz gehabt,
[00:25:23 -> 00:25:25]  dass wir sie alle unterbringen.
[00:25:25 -> 00:25:28]  Jetzt haben wir ein Gästezimmer und noch die Couch.
[00:25:28 -> 00:25:31]  Wir kriegen alle unter, wenn wir einziehen.
[00:25:31 -> 00:25:34]  Ein unvergesslicher Tag, nicht nur für Vater und Sohn,
[00:25:34 -> 00:25:36]  sondern für die ganze Familie.
[00:25:36 -> 00:25:38]  Können wir noch mal singen?
[00:25:38 -> 00:25:41]  Oh ja, wir können mal Happy Birthday singen.
[00:25:41 -> 00:25:44]  Wie schön, dass du geboren bist.
[00:25:44 -> 00:25:48]  Wir hätten dich sonst sehr vermisst.
[00:25:48 -> 00:25:52]  Wie schön, dass wir beisammen sind.
[00:25:52 -> 00:25:55]  Wir gratulieren dir Geburtstagskind.
[00:25:55 -> 00:25:57]  Und wie alt bist du heute?
[00:25:57 -> 00:25:59]  2.
[00:25:59 -> 00:26:02]  Jetzt kannst du wieder laufen.
[00:26:03 -> 00:26:07]  Es läuft, auch 350 km nordöstlich in Oberpfanken.
[00:26:07 -> 00:26:11]  Über dem Grundstück von Familie Dressel in Neukenroth
[00:26:11 -> 00:26:15]  schwebt gerade das 4. Raummodul ihres Fertighauses.
[00:26:15 -> 00:26:19]  Damit ist das Gebäude im Erdgeschoss schon fast fertig.
[00:26:19 -> 00:26:23]  Das eine hat ein Schnurrgerade-Quanta.
[00:26:23 -> 00:26:26]  Das nehmen wir als Hilfsmittel, um zu überprüfen,
[00:26:26 -> 00:26:29]  dass die Wände parallel zusammenstehen.
[00:26:30 -> 00:26:34]  Jetzt werden die Module nur noch aneinander geschweißt.
[00:26:34 -> 00:26:36]  Es geht Schlag auf Schlag.
[00:26:36 -> 00:26:39]  Ankunft des Lkw mit dem Bad.
[00:26:39 -> 00:26:43]  Mit dem Transporter kommt auch ein Besucher zur Baustelle.
[00:26:43 -> 00:26:46]  Gebietsverkaufsleiter Fred Schwarz.
[00:26:46 -> 00:26:49]  Hallo, Frau Dressel. Hallo, Herr Schwarz.
[00:26:49 -> 00:26:53]  Ich freue mich, dass ich Sie heute wieder sehen kann.
[00:26:53 -> 00:26:57]  Wir sehen gerade unser Bad-Modul, oder Ihr Bad-Modul.
[00:26:57 -> 00:26:59]  Das ist das 1. Mal.
[00:26:59 -> 00:27:01]  Im Berg war es nur halb fertig.
[00:27:01 -> 00:27:04]  Aber jetzt lassen wir es zur Tür rein.
[00:27:04 -> 00:27:08]  Bauherr Manuel kann es kaum erwarten.
[00:27:08 -> 00:27:10]  Besser als im Berg.
[00:27:10 -> 00:27:13]  Jetzt ist es fertig.
[00:27:13 -> 00:27:16]  Gefällt es auch der Bauherrin?
[00:27:16 -> 00:27:18]  Sieht echt gut aus.
[00:27:18 -> 00:27:21]  Sie sehen, es ist keine einzige Fliese gerissen.
[00:27:21 -> 00:27:24]  Das klappt alles einwandfrei.
[00:27:25 -> 00:27:28]  Die Leitungen sind alle komplett vorinstalliert.
[00:27:28 -> 00:27:31]  Die werden nur noch durch die Decke durchgeführt.
[00:27:31 -> 00:27:34]  Sie werden unter der Decke noch angeschlossen.
[00:27:34 -> 00:27:38]  Am meisten freue ich mich, dass man endlich mal was Eigenes hat.
[00:27:38 -> 00:27:41]  Dass man sich mal auf die Terrasse setzen kann.
[00:27:41 -> 00:27:44]  Das war in der Wohnung nicht möglich.
[00:27:44 -> 00:27:47]  Wir hatten weder einen Garten noch Balkon.
[00:27:47 -> 00:27:51]  Da freue ich mich schon sehr drauf, v.a. jetzt im Sommer.
[00:27:51 -> 00:27:55]  Während die Frau von lauen Abenden vor ihrem Haus träumt,
[00:27:55 -> 00:27:58]  kämpfen die Bauarbeiter mit dem 10 t schweren Bad.
[00:27:58 -> 00:28:00]  Aber der Trupp ist gut eingespielt.
[00:28:00 -> 00:28:02]  3000 sog. Econ-Häuser
[00:28:02 -> 00:28:07]  hat die Firma seit 1998 schon in ganz Deutschland errichtet.
[00:28:07 -> 00:28:10]  Die Auftragsbücher sind auch jetzt voll.
[00:28:10 -> 00:28:14]  Das sind 4-5 Gruppen, jede Woche ein Haus.
[00:28:14 -> 00:28:16]  Es boomt.
[00:28:16 -> 00:28:18]  Auch in der Corona-Zeit?
[00:28:18 -> 00:28:20]  Wir merken nichts davon.
[00:28:20 -> 00:28:23]  Tatsächlich ist die Nachfrage nach Fertighäusern
[00:28:23 -> 00:28:26]  in den Monaten der Pandemie sogar gestiegen.
[00:28:26 -> 00:28:30]  Mehr als 11.000 bekamen im 1. Halbjahr eine Baugenehmigung.
[00:28:30 -> 00:28:31]  Ein Rekord.
[00:28:31 -> 00:28:34]  Diese Bauherren wirken entspannt, noch.
[00:28:34 -> 00:28:36]  Man muss ja noch nichts machen.
[00:28:36 -> 00:28:40]  Jetzt ist es noch lustig, man passt auf und andere arbeiten.
[00:28:40 -> 00:28:44]  Später kommt man selber mit dazu und muss gucken, dass man fertig wird.
[00:28:44 -> 00:28:46]  Da fühlt man sich anders an.
[00:28:47 -> 00:28:49]  Das ist ein Unterschied.
[00:28:49 -> 00:28:53]  Dass sich heute hier Großes tut, hat sich schon herumgesprochen.
[00:28:53 -> 00:28:57]  So mancher Nachbar will genau sehen, was da so plötzlich entsteht.
[00:28:57 -> 00:29:01]  Ja, aber so geht es heiß schnell.
[00:29:05 -> 00:29:07]  In einem Tag ist es aufgestellt.
[00:29:07 -> 00:29:09]  Für den flotten Rentner
[00:29:09 -> 00:29:14]  hat das Treiben rund um die Baustelle durchaus Unterhaltungswert.
[00:29:15 -> 00:29:18]  Dann sehen wir uns öfter, wenn ihr jeden Tag herfahrt.
[00:29:18 -> 00:29:20]  Ich fahre eigentlich jeden Tag.
[00:29:20 -> 00:29:24]  Rentner bin ich, seid ruhig.
[00:29:24 -> 00:29:28]  Ich bin ja 85 Jahre alt.
[00:29:28 -> 00:29:31]  Also Leute, schöne Runde, macht es gut.
[00:29:31 -> 00:29:33]  Danke.
[00:29:34 -> 00:29:37]  Zurück in Ochsenbang auf der Schwäbischen Alb.
[00:29:37 -> 00:29:40]  Auf der Baustelle von Stefanie und Michael Halmel
[00:29:40 -> 00:29:43]  gibt es eine Stärkung für alle.
[00:29:45 -> 00:29:49]  Das Ehepaar hat Maultaschen gekocht.
[00:29:51 -> 00:29:53]  Der nächste Lkw ist da.
[00:29:53 -> 00:29:56]  Florian Stenglein muss schon wieder ran.
[00:29:56 -> 00:29:59]  Der 37-Jährige stellt etwa 15 Häuser im Jahr.
[00:29:59 -> 00:30:03]  Bauherrn hat er schon viele kennengelernt.
[00:30:05 -> 00:30:08]  Ich war beeindruckt, das sind nette Leute.
[00:30:08 -> 00:30:12]  Wir haben was zum Essen gekriegt, was zum Trinken.
[00:30:12 -> 00:30:15]  Das ist leider nicht mehr die Regel.
[00:30:15 -> 00:30:18]  Wir sind meistens auf uns allein gestellt.
[00:30:18 -> 00:30:21]  Gestärkt geht es an die nächste Phase des Aufbaus,
[00:30:21 -> 00:30:23]  die Zwischendecke.
[00:30:23 -> 00:30:25]  Und die hat es in sich.
[00:30:25 -> 00:30:27]  Jetzt ist volle Konzentration gefragt.
[00:30:27 -> 00:30:29]  Denn ihre widerspenstigen Einzelteile
[00:30:29 -> 00:30:31]  wollen einfach nicht gehorchen.
[00:30:31 -> 00:30:33]  Es schwingt jetzt relativ stark.
[00:30:33 -> 00:30:35]  Es ist viel länger als das Haus.
[00:30:35 -> 00:30:38]  Das schaut jetzt da unter das Kühlschrank rein,
[00:30:38 -> 00:30:40]  weil da das Vordach dran ist.
[00:30:40 -> 00:30:42]  Das ist schwierig vom Platz her.
[00:30:42 -> 00:30:46]  Jetzt müssen wir schauen, dass wir es drunter reinfädeln.
[00:30:46 -> 00:30:49]  Die größte Herausforderung bisher.
[00:30:49 -> 00:30:51]  Es geht.
[00:30:51 -> 00:30:53]  Aber gerade so.
[00:30:58 -> 00:31:01]  Das Zweite müssen wir noch besser aufpassen,
[00:31:01 -> 00:31:04]  dass das mit dem anderen wieder zusammenpasst.
[00:31:04 -> 00:31:06]  Höchste Konzentration,
[00:31:06 -> 00:31:08]  der bislang schwierigste Arbeitsschritt
[00:31:08 -> 00:31:10]  beim Aufbau des Fertighauses.
[00:31:10 -> 00:31:13]  Scheitern die Monteure an dieser Zwischendecke?
[00:31:13 -> 00:31:15]  Es ist knapp.
[00:31:15 -> 00:31:18]  Das Holzteil muss auf der Unterkonstruktion aufliegen.
[00:31:18 -> 00:31:20]  Doch irgendetwas passt nicht.
[00:31:20 -> 00:31:23]  Da hängt noch irgendwas in der Luft.
[00:31:23 -> 00:31:27]  Es liegt aber am Deckenteil, hätte ich gesagt.
[00:31:27 -> 00:31:31]  Weil es ist komplett in der Luft, bis rüber.
[00:31:31 -> 00:31:34]  Der Balken hat Spannung nach oben.
[00:31:34 -> 00:31:36]  Der macht nach oben eine Beule.
[00:31:36 -> 00:31:38]  Das müssen wir ans andere angleichen.
[00:31:38 -> 00:31:41]  Der liegt nicht auf der Wand auf, wie es sein soll.
[00:31:41 -> 00:31:43]  Hier in dem Bereich ist er in der Luft.
[00:31:43 -> 00:31:45]  Das ziehen wir noch runter.
[00:31:45 -> 00:31:47]  Dass das gleich ist mit dem anderen.
[00:31:47 -> 00:31:50]  Spätestens, wenn die Wand draufsteht, passt es eh.
[00:31:50 -> 00:31:53]  Mit viel Metall und einem Schlagschrauber
[00:31:53 -> 00:31:55]  gehen die Arbeiter ans Werk.
[00:31:55 -> 00:31:58]  Sie schaffen es, das Problem zu lösen.
[00:31:58 -> 00:32:01]  Jetzt muss nur noch die Holzdecke befestigt werden.
[00:32:01 -> 00:32:03]  Am Ende des 1. Stelltages
[00:32:03 -> 00:32:06]  gibt es vom Bauherrn noch eine Überraschung.
[00:32:06 -> 00:32:10]  Feierabend-Bier für die Helden des Tages.
[00:32:10 -> 00:32:14]  Eine willkommene Belohnung für harte Arbeit.
[00:32:14 -> 00:32:17]  Zeit für eine erste Zwischenbilanz.
[00:32:17 -> 00:32:22]  Ist Junior-Chef Florian mit dem Geleisteten zufrieden?
[00:32:22 -> 00:32:24]  Es ist so weit, dass nichts passiert.
[00:32:24 -> 00:32:27]  Es ist alles gut gelaufen.
[00:32:27 -> 00:32:29]  Ziel erfüllt, soll erreicht.
[00:32:29 -> 00:32:31]  Man sieht, dass man was geschafft hat.
[00:32:31 -> 00:32:34]  Wenn man das geschafft hat, ist man zufrieden.
[00:32:34 -> 00:32:37]  Nach dem Stellen ist man immer durch abends.
[00:32:37 -> 00:32:41]  Man springt den ganzen Tag rauf und runter, rüber und rüber.
[00:32:41 -> 00:32:43]  Du bist ein junger Kerl.
[00:32:43 -> 00:32:45]  Der nächste Morgen.
[00:32:45 -> 00:32:47]  Stark. Wahnsinn.
[00:32:47 -> 00:32:49]  Ehre.
[00:32:49 -> 00:32:51]  Oh nein.
[00:32:51 -> 00:32:53]  Morgen.
[00:32:53 -> 00:32:55]  Morgen.
[00:32:55 -> 00:32:59]  Die Nordwand und jetzt kommt gerade die Ostwand.
[00:33:00 -> 00:33:04]  Das wirkt ganz anders als gestern.
[00:33:04 -> 00:33:06]  Wow, Hammer.
[00:33:06 -> 00:33:09]  Es wirkt komplett anders.
[00:33:09 -> 00:33:11]  Ich bin total sprachlos.
[00:33:11 -> 00:33:13]  Ich muss mich erst mal sammeln.
[00:33:13 -> 00:33:17]  Das komplette Erdgeschoss steht nach nur einem Tag.
[00:33:17 -> 00:33:20]  Die Arbeiter haben in der Nähe übernachtet
[00:33:20 -> 00:33:24]  und sind jetzt gegen 8 Uhr schon wieder voll im Einsatz.
[00:33:24 -> 00:33:28]  Fast im Minutentakt kommen neue Wände hinzu.
[00:33:29 -> 00:33:32]  Dieses Mal fürs Obergeschoss.
[00:33:36 -> 00:33:38]  Guten Morgen.
[00:33:38 -> 00:33:41]  Auch Michael staunt über das rasante Tempo.
[00:33:41 -> 00:33:43]  Spitze.
[00:33:43 -> 00:33:46]  Die Begeisterung trifft im Haus gegenüber
[00:33:46 -> 00:33:49]  allerdings nicht auf ungeteilte Freude.
[00:33:49 -> 00:33:52]  Klaas König verfolgt das Bauprojekt seiner Nachbarn
[00:33:52 -> 00:33:54]  mit gemischten Gefühlen.
[00:33:54 -> 00:33:56]  Die Spitze sehe ich gerade noch.
[00:33:56 -> 00:33:58]  Es ist sogar noch höher geworden,
[00:33:58 -> 00:34:01]  als ich mir das ursprünglich vorgestellt hatte.
[00:34:01 -> 00:34:05]  Der Blick wird jetzt durch nette Nachbarn eingetauscht.
[00:34:05 -> 00:34:08]  Das ist ein lachendes, ein weinendes Auge.
[00:34:08 -> 00:34:13]  Insgesamt finde ich es schön mit diesem Holzoberbau.
[00:34:13 -> 00:34:18]  Und genau der hat den 2 Bauherren einiges Kopfzerbrechen bereitet.
[00:34:18 -> 00:34:21]  Rückblick, 12 Monate zuvor.
[00:34:21 -> 00:34:24]  Michael und Stefanie haben einen Termin
[00:34:24 -> 00:34:28]  im Ausstattungszentrum ihres Fertighausherstellers.
[00:34:28 -> 00:34:31]  Und da soll ich jetzt sagen, welche Farben mir gefällt?
[00:34:31 -> 00:34:33]  Ja.
[00:34:33 -> 00:34:37]  Man sieht ja schon relativ gut, gefällt mir eher ein Grauton,
[00:34:37 -> 00:34:39]  gefällt mir eher ein Braunton
[00:34:39 -> 00:34:41]  oder möchte ich wirklich was Extremes,
[00:34:41 -> 00:34:43]  wie so ein Rotton machen.
[00:34:43 -> 00:34:46]  Da habe ich schon so Richtung normalerweise nicht gegeben.
[00:34:46 -> 00:34:50]  Bei solch schwierigen Entscheidungen ist v.a. eines wichtig.
[00:34:50 -> 00:34:53]  Das Ehepaar muss einer Meinung sein.
[00:34:54 -> 00:34:58]  Also braun fände ich schon gut, ein Braunstich.
[00:34:58 -> 00:35:01]  Ob es jetzt ein richtiges Braun ist, so ein Acker.
[00:35:01 -> 00:35:03]  Wenn ich dann nachdenke drüber,
[00:35:03 -> 00:35:06]  dass ich vielleicht 40 Jahre auf mein Haus zulaufe
[00:35:06 -> 00:35:08]  und jedes Mal dann die Farbe sehe,
[00:35:08 -> 00:35:13]  die ich jetzt, jetzt, hier und jetzt aussuche, dann sage ich ja.
[00:35:13 -> 00:35:15]  Ist schwer, ne?
[00:35:15 -> 00:35:17]  Ist schwer.
[00:35:17 -> 00:35:19]  Schon eine schwere Entscheidung.
[00:35:19 -> 00:35:21]  Ausstattungsberater Jonas Rudolph
[00:35:21 -> 00:35:24]  macht eine Belastungsprobe dieser Tag für seine Kunden.
[00:35:24 -> 00:35:26]  Ob hier schon Ehen zerbrochen sind?
[00:35:26 -> 00:35:28]  Okay.
[00:35:28 -> 00:35:31]  Nach den Holzpanelen geht es um noch viel Grundsätzlicheres
[00:35:31 -> 00:35:34]  in der Badabteilung, die Toilettenhöhe.
[00:35:34 -> 00:35:36]  Genau, ich stelle sie Ihnen mal ein.
[00:35:36 -> 00:35:38]  Da gibt es auch so Erfahrungswerte.
[00:35:38 -> 00:35:40]  Ich mache es mal einen Zentimeter höher.
[00:35:40 -> 00:35:42]  Man sieht es hier ganz gut, 45 cm.
[00:35:42 -> 00:35:45]  Das ist so eine erfahrungsgemäße Höhe, die oft gemacht wird.
[00:35:45 -> 00:35:48]  Gemessen wird es immer von, also ohne Deckel und ohne Sitz,
[00:35:48 -> 00:35:50]  immer von der Keramik.
[00:35:50 -> 00:35:53]  Und dann sehen wir mal, ob es Ihnen so passt
[00:35:53 -> 00:35:55]  oder ob es höher sein sollte.
[00:35:55 -> 00:35:57]  Bitte schön, du darfst platten.
[00:35:57 -> 00:35:59]  Also es ist jetzt Standard praktisch.
[00:35:59 -> 00:36:01]  Das wäre so erfahrungsgemäß,
[00:36:01 -> 00:36:03]  was oft gemacht wird von der Höhe her.
[00:36:03 -> 00:36:05]  Ich finde es zu niedrig.
[00:36:05 -> 00:36:08]  Dann probieren Sie es mal aus, Frau Halmin.
[00:36:08 -> 00:36:11]  Ja, also ich fände es okay,
[00:36:11 -> 00:36:14]  aber ich würde es auch mal ein Tickchen höher probieren.
[00:36:14 -> 00:36:18]  Ja, also dann stellen wir es einfach mal hier einen Zentimeter höher.
[00:36:18 -> 00:36:20]  Machen Sie mal 2 höher.
[00:36:20 -> 00:36:23]  Wir können es auch gerne gleich 2 höher machen.
[00:36:23 -> 00:36:25]  Dann gehen wir auf 47 cm.
[00:36:25 -> 00:36:28]  Das sind 2 cm höher, wie wir es gerade drin hatten.
[00:36:28 -> 00:36:32]  Dann hoffe ich mal, dass Sie den Unterschied gleich erkennen.
[00:36:32 -> 00:36:36]  Oh ja, viel angenehmer.
[00:36:40 -> 00:36:42]  Finde ich jetzt auch besser.
[00:36:42 -> 00:36:46]  Eine überraschend unkomplizierte Sitzung.
