[00:00:00 -> 00:00:03]  NEXT
[00:27:35 -> 00:27:38]  And they'll set aside a park and so forth, but when you go there, you see it's just being
[00:27:38 -> 00:27:40]  cut off anyway.
[00:27:40 -> 00:27:45]  For example, in the Lita San Lorenzo region, one of the richest areas in Ecuador, it is
[00:27:45 -> 00:27:50]  the richest area in Ecuador, they decided that they'd let the people cut off one kilometer
[00:27:50 -> 00:27:51]  from the road.
[00:27:51 -> 00:27:54]  Well, that was where the richest part of the forest was, where the road was, just by chance.
[00:27:54 -> 00:27:56]  It was where all the good species are.
[00:27:56 -> 00:28:00]  So one kilometer back, and then one kilometer back, you can't see that far.
[00:28:00 -> 00:28:04]  So nobody's going to go back beyond that to see whether they're cutting the forest off
[00:28:04 -> 00:28:05]  anyway.
[00:28:05 -> 00:28:07]  So once they get a kilometer, do you think they'll stop there?
[00:28:07 -> 00:28:09]  No, they just keep on going.
[00:28:09 -> 00:28:15]  So there are very few people to control these aspects, you know, and they usually prefer
[00:28:15 -> 00:28:21]  sitting at a desk in an office in an air-conditioned area rather than being out in the field, you
[00:28:21 -> 00:28:26]  know, inspecting for plant loggers and cutters and so forth.
[00:28:26 -> 00:28:29]  There's attempts to stop it, but it's not being stopped, that's the problem.
