[00:00:00 -> 00:00:01]  Well, welcome everyone.
[00:23:06 -> 00:23:10]  is to administer a second one in this scenario.
[00:23:11 -> 00:23:12]  All right, so now we've got a question
[00:23:12 -> 00:23:15]  that focuses on ferrous sulfate.
[00:23:16 -> 00:23:19]  A client is diagnosed with iron deficiency anemia
[00:23:19 -> 00:23:22]  and ferrous sulfate is prescribed.
[00:23:22 -> 00:23:23]  The nurse would tell the client
[00:23:23 -> 00:23:27]  that it's best to take the medication with which food?
[00:23:27 -> 00:23:29]  One, milk, two, tomato juice,
[00:23:29 -> 00:23:33]  three, seltzer water or four, pineapple juice.
[00:23:43 -> 00:23:45]  All right, interesting.
[00:23:45 -> 00:23:48]  So it looks like majority wanted to go with option one,
[00:23:48 -> 00:23:53]  46% wanted to go with milk while only 18% tomato juice,
[00:23:53 -> 00:23:57]  10% with seltzer water and then 25% with pineapple juice.
[00:23:57 -> 00:23:59]  That's interesting.
[00:23:59 -> 00:24:02]  So the answer here is actually going to be option two.
[00:24:02 -> 00:24:05]  So ferrous sulfate, it's an iron preparation
[00:24:05 -> 00:24:09]  and the client is instructed to take this medication
[00:24:09 -> 00:24:12]  with orange juice or with another type of vitamin C
[00:24:12 -> 00:24:16]  containing product or a product high in ascorbic acid
[00:24:16 -> 00:24:18]  such as tomato juice,
[00:24:18 -> 00:24:20]  because this will help to increase
[00:24:20 -> 00:24:22]  the absorption of the iron.
[00:24:23 -> 00:24:26]  You also want to know the strategic word best.
[00:24:26 -> 00:24:29]  Among the options presented,
[00:24:29 -> 00:24:31]  the tomato juice is the highest in vitamin C
[00:24:31 -> 00:24:33]  and ascorbic acid.
[00:24:33 -> 00:24:37]  There's approximately 25% vitamin C
[00:24:37 -> 00:24:38]  in a glass of pineapple juice,
[00:24:38 -> 00:24:43]  whereas there's about 75% in a glass of tomato juice.
[00:24:43 -> 00:24:47]  And actually milk inhibits the absorption of iron
[00:24:47 -> 00:24:50]  and seltzer water doesn't contain any vitamin C.
[00:24:51 -> 00:24:55]  All right, so then next we have a question on phenytoin
[00:24:55 -> 00:24:58]  and an adverse effect of this medication.
[00:24:58 -> 00:25:00]  A client diagnosed with a seizure disorder
[00:25:00 -> 00:25:05]  is receiving phenytoin 100 milligrams three times daily.
[00:25:05 -> 00:25:07]  Which finding indicates that the client
[00:25:07 -> 00:25:10]  is experiencing an adverse effect of the medication?
[00:25:10 -> 00:25:14]  One, fatigue, two, dizziness, three, drowsiness
[00:25:14 -> 00:25:16]  or four, bleeding gums?
[00:25:21 -> 00:25:24]  All right, so it looks like 69%
[00:25:24 -> 00:25:26]  shows the correct answer here,
[00:25:26 -> 00:25:28]  which is option number four.
[00:25:28 -> 00:25:31]  So phenytoin, also known as Dilantin,
[00:25:31 -> 00:25:33]  is an anti-seizure medication.
[00:25:33 -> 00:25:34]  If you didn't know this,
[00:25:34 -> 00:25:36]  you can focus on the data in the question
[00:25:36 -> 00:25:39]  and know that a diagnosis of seizure disorder
[00:25:39 -> 00:25:42]  is provided there for you.
[00:25:42 -> 00:25:44]  And so if there's a diagnosis noted
[00:25:44 -> 00:25:46]  in any pharmacology question,
[00:25:46 -> 00:25:48]  this can help you to determine
[00:25:48 -> 00:25:51]  if you didn't know or what it's being used for.
[00:25:51 -> 00:25:55]  A very important adverse effect specific to phenytoin
[00:25:55 -> 00:25:57]  that you're likely to be asked about
[00:25:57 -> 00:26:00]  is that it causes gingival hyperplasia.
[00:26:00 -> 00:26:03]  Gingival hyperplasia causes bleeding,
[00:26:03 -> 00:26:05]  tenderness or swelling of the gums.
[00:26:05 -> 00:26:10]  And so be sure to remember this about this medication.
[00:26:10 -> 00:26:12]  Fatigue and drowsiness are kind of comparable
[00:26:12 -> 00:26:16]  or alike to the symptoms of a seizure disorder.
[00:26:16 -> 00:26:20]  And so you can eliminate these as adverse effects.
[00:26:20 -> 00:26:21]  Dizziness may occur,
[00:26:21 -> 00:26:24]  but in this case is not an adverse effect.
[00:26:24 -> 00:26:26]  So be sure to know what the question
[00:26:26 -> 00:26:28]  is specifically asking about.
[00:26:28 -> 00:26:29]  And in this question,
[00:26:29 -> 00:26:33]  you can see it's asking about an adverse effect.
[00:26:33 -> 00:26:36]  All right, so next, Linda's going to go over a question
[00:26:36 -> 00:26:38]  about amoxicillin.
[00:26:38 -> 00:26:39]  Thank you, Angela.
[00:26:39 -> 00:26:43]  Okay, on this slide, we have another question
[00:26:43 -> 00:26:44]  about an adverse effect
[00:26:44 -> 00:26:48]  and the medication is amoxicillin.
[00:26:48 -> 00:26:49]  So a client diagnosed
[00:26:49 -> 00:26:51]  with a genital urinary tract infection
[00:26:51 -> 00:26:56]  is receiving amoxicillin 500 milligrams every eight hours.
[00:26:57 -> 00:27:01]  Which sign or symptom would indicate to the nurse
[00:27:01 -> 00:27:04]  that the client is experiencing an adverse effect
[00:27:04 -> 00:27:06]  related to the medication?
[00:27:06 -> 00:27:08]  One, nausea.
[00:27:08 -> 00:27:09]  Two, headache.
[00:27:09 -> 00:27:11]  Three, nausea.
[00:27:11 -> 00:27:12]  One, nausea.
[00:27:12 -> 00:27:14]  Two, headache.
[00:27:14 -> 00:27:15]  Three, hypertension.
[00:27:15 -> 00:27:17]  And four, watery diarrhea.
[00:27:28 -> 00:27:31]  Okay, well, I think you did great with this question.
[00:27:31 -> 00:27:35]  61% of you selected option four
[00:27:35 -> 00:27:38]  and option four is the correct answer.
[00:27:38 -> 00:27:41]  Now, what you want to remember is that amoxicillin
[00:27:41 -> 00:27:44]  is an antimicrobial or an antibiotic
[00:27:44 -> 00:27:49]  and adverse effects of many of the antibiotics
[00:27:49 -> 00:27:52]  include super infection,
[00:27:52 -> 00:27:57]  such as potentially fatal antibiotic-associated colitis.
[00:27:57 -> 00:28:02]  And that results because of the altered bacterial balance
[00:28:03 -> 00:28:07]  that occurs in the intestines when you take antibiotics.
[00:28:07 -> 00:28:11]  And some signs and symptoms would be abdominal cramps,
[00:28:11 -> 00:28:14]  severe watery diarrhea, and fever.
[00:28:14 -> 00:28:17]  The side effects of this medication
[00:28:17 -> 00:28:21]  include gastrointestinal disturbances,
[00:28:21 -> 00:28:24]  such as a mild diarrhea, perhaps,
[00:28:24 -> 00:28:26]  and nausea and vomiting, headache,
[00:28:26 -> 00:28:31]  and sometimes oral or vaginal candidiasis.
[00:28:31 -> 00:28:35]  Hypertension is not associated with the use of this med.
[00:28:35 -> 00:28:37]  And then now note that the question, again,
[00:28:37 -> 00:28:40]  is asking for that adverse effect.
[00:28:40 -> 00:28:43]  And if you can remember that these antibiotics
[00:28:43 -> 00:28:45]  have a tendency to produce
[00:28:45 -> 00:28:50]  these severe gastrointestinal disturbances,
[00:28:50 -> 00:28:53]  and you note the word watery in option four,
[00:28:53 -> 00:28:55]  that's gonna really help you
[00:28:55 -> 00:28:57]  answer this question correctly.
[00:28:58 -> 00:29:01]  Okay, on the next slide, we have a question on levodopa.
[00:29:02 -> 00:29:05]  And we're gonna look at our strategic word here.
[00:29:05 -> 00:29:07]  The nurse is caring for a client
[00:29:07 -> 00:29:10]  diagnosed with Parkinson's disease
[00:29:10 -> 00:29:13]  who has recently been prescribed levodopa.
[00:29:13 -> 00:29:18]  What is the most important assessment?
[00:29:18 -> 00:29:20]  That's probably assessment.
[00:29:20 -> 00:29:22]  What is most important to monitor, sorry,
[00:29:22 -> 00:29:25]  before ambulating the client?
[00:29:25 -> 00:29:27]  One, the client's history of falls.
[00:29:27 -> 00:29:31]  Two, the client's orthostatic vital signs.
[00:29:31 -> 00:29:34]  Three, assistive devices used by the client.
[00:29:34 -> 00:29:37]  And four, the degree of intention tremors
[00:29:37 -> 00:29:39]  exhibited by the client.
[00:29:46 -> 00:29:50]  Okay, looks like you did great with this question.
[00:29:50 -> 00:29:52]  The answer is option two,
[00:29:52 -> 00:29:56]  and 58% of you did select the correct answer.
[00:29:56 -> 00:30:00]  So your clients with Parkinson's disease
[00:30:00 -> 00:30:01]  are at risk for postural,
[00:30:01 -> 00:30:04]  also known as orthostatic hypotension
[00:30:04 -> 00:30:07]  from the disease process.
[00:30:07 -> 00:30:09]  And this problem is exasperated
[00:30:09 -> 00:30:11]  with the introduction of levodopa
[00:30:11 -> 00:30:16]  because levodopa can also cause postural hypotension.
[00:30:17 -> 00:30:20]  So this places the client at risk for falls.
[00:30:20 -> 00:30:22]  And although history of falls
[00:30:22 -> 00:30:24]  and knowledge of the client's use
[00:30:24 -> 00:30:27]  of assistive devices is helpful,
[00:30:27 -> 00:30:30]  it's not the most important piece of data
[00:30:30 -> 00:30:33]  on the basis of the information in the question.
[00:30:33 -> 00:30:35]  And then it's important to remember
[00:30:35 -> 00:30:37]  that clients with Parkinson's disease
[00:30:37 -> 00:30:42]  generally have resting tremors, not intentional tremors.
[00:30:42 -> 00:30:47]  So know those strategic words most important.
[00:30:47 -> 00:30:49]  Remember that postural hypotension
[00:30:49 -> 00:30:51]  from the options provided
[00:30:51 -> 00:30:55]  presents the greatest safety risk to the client.
[00:30:55 -> 00:30:59]  And also use your ABCs, airway, breathing, and circulation.
[00:30:59 -> 00:31:02]  And this would also help you answer this question correctly.
[00:31:03 -> 00:31:04]  Okay, on the next slide,
[00:31:04 -> 00:31:07]  we have a question on furosemide
[00:31:07 -> 00:31:09]  and strategic words here again.
[00:31:09 -> 00:31:12]  A client experiencing difficulty breathing
[00:31:12 -> 00:31:14]  and increased lung congestion
[00:31:14 -> 00:31:18]  was prescribed furosemide 40 milligrams
[00:31:18 -> 00:31:20]  to be given intravenously.
[00:31:20 -> 00:31:23]  After one hour, which finding indicates
[00:31:23 -> 00:31:25]  that the therapy has been effective.
[00:31:25 -> 00:31:29]  One, the lungs are clear upon auscultation.
[00:31:29 -> 00:31:34]  Two, the urine output has increased by 400 ml.
[00:31:34 -> 00:31:39]  Three, the serum potassium has decreased from 4.7 to 4.1.
[00:31:41 -> 00:31:44]  And four, the blood pressure has decreased
[00:31:44 -> 00:31:49]  from 118 over 64 to 106 over 62.
[00:31:53 -> 00:31:58]  Okay, you did really great with this one.
[00:32:03 -> 00:32:08]  Also 66% of you selected option one,
[00:32:08 -> 00:32:10]  which is the correct option.
[00:32:10 -> 00:32:12]  So let's take a look at this.
[00:32:12 -> 00:32:15]  So furosemide is the generic name for Lasix
[00:32:15 -> 00:32:19]  and it's a potassium wasting diuretic.
[00:32:19 -> 00:32:22]  And in this situation, furosemide was given
[00:32:22 -> 00:32:26]  because the client was experiencing difficulty breathing
[00:32:26 -> 00:32:29]  and had increased pulmonary congestion.
[00:32:29 -> 00:32:34]  So although all notations in the options may occur,
[00:32:35 -> 00:32:37]  option one is the reason
[00:32:37 -> 00:32:40]  that the furosemide was administered.
[00:32:40 -> 00:32:42]  So remember that when a diuretic is administered,
[00:32:42 -> 00:32:45]  urine output will increase.
[00:32:45 -> 00:32:47]  And also remember that the blood pressure will drop
[00:32:47 -> 00:32:50]  as a result of fluid loss.
[00:32:50 -> 00:32:54]  And with furosemide, it's very important to remember
[00:32:54 -> 00:32:55]  that the potassium level can drop
[00:32:55 -> 00:33:00]  because this medication is a potassium wasting one.
[00:33:00 -> 00:33:03]  However, even though the potassium level dropped
[00:33:03 -> 00:33:05]  in this option three,
[00:33:05 -> 00:33:10]  it is still within the normal range of 3.5 to 5.0.
[00:33:11 -> 00:33:14]  So these are all important points about the medication,
[00:33:14 -> 00:33:17]  but again, focus on the data in the question,
[00:33:17 -> 00:33:19]  note the word effective
[00:33:19 -> 00:33:22]  and note the relationship between the words
[00:33:22 -> 00:33:27]  pulmonary congestion in the question and option one.
[00:33:28 -> 00:33:31]  Okay, on this next slide,
[00:33:31 -> 00:33:33]  we have a question on metformin
[00:33:33 -> 00:33:36]  and a strategic word in this question.
[00:33:36 -> 00:33:40]  The nurse is assessing a client taking metformin.
[00:33:40 -> 00:33:43]  Which finding requires immediate notification
[00:33:43 -> 00:33:46]  of the primary healthcare provider?
[00:33:46 -> 00:33:48]  One, hyperventilation.
[00:33:48 -> 00:33:50]  Two, abdominal bloating.
[00:33:50 -> 00:33:53]  Three, complaints of diarrhea.
[00:33:53 -> 00:33:57]  And four, complaints of unpleasant metallic taste.
[00:34:06 -> 00:34:07]  Hey, you did great on this one also.
[00:34:07 -> 00:34:11]  52% of you selected option one,
[00:34:11 -> 00:34:13]  which is the correct answer.
[00:34:13 -> 00:34:15]  Let's take a look at this.
[00:34:15 -> 00:34:18]  Now, metformin, you may also know this as glucophage
[00:34:18 -> 00:34:23]  and it's classified as an oral hypoglycemic
[00:34:23 -> 00:34:26]  and it acts by improving glycemic control in diabetics.
[00:34:26 -> 00:34:29]  But a serious and potentially fatal complication
[00:34:29 -> 00:34:32]  of the medication is lactic acidosis.
[00:34:32 -> 00:34:36]  And this is manifested by hyperventilation,
[00:34:36 -> 00:34:38]  malaise, drowsiness,
[00:34:38 -> 00:34:43]  and the condition could advance to cardiovascular collapse,
[00:34:43 -> 00:34:46]  causing some shock if it's not recognized
[00:34:46 -> 00:34:48]  and treated immediately.
[00:34:48 -> 00:34:51]  So abdominal bloating, diarrhea,
[00:34:51 -> 00:34:54]  and an unpleasant metallic taste are side effects
[00:34:54 -> 00:34:57]  associated with this medication.
[00:34:57 -> 00:34:59]  But again, look at the question,
[00:34:59 -> 00:35:03]  note the word immediate notification
[00:35:03 -> 00:35:05]  of the primary healthcare provider.
[00:35:05 -> 00:35:06]  So this should be a clue to you
[00:35:06 -> 00:35:07]  that you're looking for an option
[00:35:07 -> 00:35:12]  that identifies a serious concern or an adverse effect.
[00:35:12 -> 00:35:13]  And with this question,
[00:35:13 -> 00:35:16]  you could also use the ABCs,
[00:35:16 -> 00:35:20]  airway, breathing, and circulation to answer the question.
[00:35:21 -> 00:35:22]  Okay, on the next slide,
[00:35:22 -> 00:35:26]  we have a question on the corticosteroids.
[00:35:26 -> 00:35:27]  I just wanted to clarify one thing.
[00:35:27 -> 00:35:31]  There was some confusion that I had in the poll,
[00:35:31 -> 00:35:35]  mistyped abdominal bloating as abdominal bleeding,
[00:35:35 -> 00:35:36]  but just wanted to clarify
[00:35:36 -> 00:35:39]  that should have been abdominal bloating in the poll, so.
[00:35:40 -> 00:35:42]  Thank you, Jenna.
[00:35:42 -> 00:35:46]  Yes, abdominal bloating is associated with this medication.
[00:35:46 -> 00:35:49]  Abdominal bleeding is not at all.
[00:35:49 -> 00:35:51]  Okay, so it is abdominal bloating
[00:35:51 -> 00:35:53]  that these patients could have
[00:35:53 -> 00:35:55]  when they're taking this medication.
[00:35:56 -> 00:35:57]  But that's a side effect
[00:35:57 -> 00:36:01]  and wouldn't require immediate notification
[00:36:01 -> 00:36:05]  of the healthcare provider, primary healthcare provider.
[00:36:05 -> 00:36:06]  Okay, so on this slide,
[00:36:06 -> 00:36:10]  we have a question on the corticosteroid prednisone.
[00:36:10 -> 00:36:12]  The nurse provides instructions to a client
[00:36:12 -> 00:36:15]  who has a prescription for long-term prednisone.
[00:36:15 -> 00:36:18]  Which instruction would the nurse include?
[00:36:18 -> 00:36:20]  One, take the medication at night
[00:36:20 -> 00:36:23]  in order to enhance sleep.
[00:36:23 -> 00:36:26]  Two, sometimes a sore throat may be felt,
[00:36:26 -> 00:36:28]  but this is not a concern.
[00:36:28 -> 00:36:32]  Three, the medication should not be stopped abruptly
[00:36:32 -> 00:36:34]  because withdrawal symptoms can occur.
[00:36:34 -> 00:36:39]  And four, sudden weight gain is normal with this medication
[00:36:39 -> 00:36:41]  and does not need to be reported
[00:36:41 -> 00:36:44]  unless it becomes extremely bothersome.
[00:36:55 -> 00:36:57]  Okay, let's see here.
[00:36:57 -> 00:36:59]  Let me just scroll down.
[00:36:59 -> 00:37:00]  You guys did great.
[00:37:00 -> 00:37:04]  82% of you selected option three
[00:37:04 -> 00:37:07]  and option three is the correct answer.
[00:37:07 -> 00:37:08]  Okay, great.
[00:37:08 -> 00:37:10]  So note what the question says,
[00:37:10 -> 00:37:14]  long-term prednisone and client instructions.
[00:37:14 -> 00:37:17]  Now we know that prednisone is a corticosteroid.
[00:37:17 -> 00:37:20]  It inhibits the body's inflammatory response.
[00:37:20 -> 00:37:25]  Now a little tip, most of the corticosteroid names
[00:37:25 -> 00:37:28]  end in the letters S-O-N-E.
[00:37:28 -> 00:37:32]  So this is one way to recognize your corticosteroids.
[00:37:32 -> 00:37:34]  Now withdrawal symptoms can occur
[00:37:34 -> 00:37:38]  if the medication is abruptly discontinued.
[00:37:38 -> 00:37:42]  So the client needs to be weaned off this medication,
[00:37:42 -> 00:37:44]  especially if the medication
[00:37:44 -> 00:37:47]  has been taken on a long-term basis.
[00:37:47 -> 00:37:49]  So the nurse should teach the client
[00:37:49 -> 00:37:53]  to take this medication early in the morning
[00:37:53 -> 00:37:56]  in order to mimic the body's natural burst
[00:37:56 -> 00:37:58]  of a corticosteroid.
[00:37:58 -> 00:38:02]  So morning is the best time for taking this med,
[00:38:02 -> 00:38:04]  not at night.
[00:38:04 -> 00:38:07]  And additionally, the medication can cause insomnia.
[00:38:08 -> 00:38:10]  Taking it at night is really not a great thing.
[00:38:10 -> 00:38:13]  A sore throat and sudden weight gain
[00:38:13 -> 00:38:16]  are adverse effects associated
[00:38:16 -> 00:38:18]  with the use of this medication,
[00:38:18 -> 00:38:21]  and they should be reported to the physician immediately.
[00:38:22 -> 00:38:26]  And just a few other points to remember about prednisone
[00:38:26 -> 00:38:31]  is that it can cause elevated glucose levels,
[00:38:31 -> 00:38:34]  and it can also cause hypokalemia.
[00:38:34 -> 00:38:38]  So the client with diabetes who's taking prednisone
[00:38:38 -> 00:38:41]  will need to be closely monitored,
[00:38:41 -> 00:38:43]  and adjustments in insulin may need to be made
[00:38:43 -> 00:38:46]  while they're taking the medication.
[00:38:46 -> 00:38:49]  And the client at risk for hypokalemia,
[00:38:49 -> 00:38:54]  such as the client taking a potassium-wasting diuretic,
[00:38:54 -> 00:38:56]  will need to have their potassium levels
[00:38:56 -> 00:38:58]  monitored very closely.
[00:38:59 -> 00:39:01]  Okay, so on the next slide,
[00:39:01 -> 00:39:04]  we have a question on the anticoagulant
[00:39:05 -> 00:39:08]  and we have a negative event query here.
[00:39:08 -> 00:39:12]  So a client will be taking warfarin sodium at home
[00:39:12 -> 00:39:14]  on a daily basis.
[00:39:14 -> 00:39:17]  The nurse provides instructions about the medication
[00:39:17 -> 00:39:20]  and determines that further teaching is needed
[00:39:20 -> 00:39:23]  if the client makes which statement?
[00:39:23 -> 00:39:27]  One, I need to have blood levels tested frequently.
[00:39:27 -> 00:39:30]  Two, I need to increase foods in my diet
[00:39:30 -> 00:39:32]  that are high in vitamin K.
[00:39:32 -> 00:39:35]  Three, this medication thins my blood
[00:39:35 -> 00:39:38]  and then it clots more slowly.
[00:39:38 -> 00:39:41]  And four, if I notice any bleeding or bruising,
[00:39:41 -> 00:39:43]  I need to call my doctor.
[00:39:53 -> 00:39:55]  Okay, great work again.
[00:39:57 -> 00:40:00]  85% of you selected option two,
[00:40:00 -> 00:40:04]  and option two is the correct answer.
[00:40:04 -> 00:40:08]  So warfarin is also known as Coumadin
[00:40:08 -> 00:40:10]  and it's an oral anticoagulant
[00:40:10 -> 00:40:14]  that is used mainly to prevent any thrombotic events
[00:40:14 -> 00:40:18]  such as thrombophlebitis or pulmonary emboli
[00:40:18 -> 00:40:22]  or any embolism formation caused by atrial fibrillation
[00:40:22 -> 00:40:24]  or even some other disorders.
[00:40:24 -> 00:40:28]  And oral anticoagulants prolong the clotting time
[00:40:28 -> 00:40:32]  and they're monitored by the prothrombin time
[00:40:32 -> 00:40:36]  and the international normalized ratio or the INR.
[00:40:36 -> 00:40:40]  Client education should include signs and symptoms
[00:40:40 -> 00:40:44]  of adverse effects primarily bleeding
[00:40:44 -> 00:40:46]  and dietary limitations
[00:40:46 -> 00:40:49]  such as limiting foods high in vitamin K
[00:40:49 -> 00:40:53]  because foods high in vitamin K increase the clotting time.
[00:40:54 -> 00:40:57]  Some of these foods are leafy green vegetables,
[00:40:57 -> 00:41:00]  cheese, egg yolks, things like that.
[00:41:00 -> 00:41:03]  So with this question, you need to be sure
[00:41:03 -> 00:41:05]  that you know the strategic words,
[00:41:05 -> 00:41:07]  further teaching is needed,
[00:41:07 -> 00:41:11]  and these words indicate your negative event query
[00:41:11 -> 00:41:14]  and ask you again to select the option
[00:41:14 -> 00:41:17]  that's an incorrect client statement.
[00:41:17 -> 00:41:21]  So recalling that warfarin is an anticoagulant
[00:41:21 -> 00:41:23]  will help you answer
[00:41:23 -> 00:41:26]  and assist in eliminating options one, three, and four.
[00:41:26 -> 00:41:31]  And also remembering the role that vitamin K plays
[00:41:31 -> 00:41:35]  in the clotting mechanisms will help direct you
[00:41:35 -> 00:41:38]  to the option that indicates the need for further teaching.
[00:41:40 -> 00:41:42]  Okay, on this next slide,
[00:41:42 -> 00:41:46]  we have a question on morphine sulfate
[00:41:46 -> 00:41:48]  and we have a strategic word here in the question.
[00:41:48 -> 00:41:51]  So a client is receiving morphine sulfate
[00:41:51 -> 00:41:56]  via a patient controlled analgesia pump.
[00:41:56 -> 00:41:59]  What would the nurse check initially
[00:41:59 -> 00:42:01]  when assessing the client?
[00:42:01 -> 00:42:04]  One, a PCA pump, two, temperature,
[00:42:04 -> 00:42:08]  three, urine output, and four, respiratory status.
[00:42:17 -> 00:42:20]  Okay, awesome work.
[00:42:20 -> 00:42:23]  96% of you selected the correct answer,
[00:42:23 -> 00:42:27]  which is option four, respiratory status.
[00:42:27 -> 00:42:29]  So what we really wanna remember about morphine
[00:42:29 -> 00:42:33]  is that it depresses respirations.
[00:42:33 -> 00:42:35]  That's the key point to remember.
[00:42:35 -> 00:42:38]  Test questions about morphine
[00:42:38 -> 00:42:40]  that you're going to see on your nursing exams
[00:42:40 -> 00:42:44]  or on the NCLEX are gonna focus around that point.
[00:42:44 -> 00:42:46]  So the nurse monitors the respiratory status
[00:42:46 -> 00:42:50]  of the client receiving morphine very closely.
[00:42:50 -> 00:42:53]  And you wanna check the client
[00:42:53 -> 00:42:56]  before you check a piece of machinery.
[00:42:56 -> 00:42:59]  So that's another important point to keep in mind.
[00:42:59 -> 00:43:02]  So note the word initially,
[00:43:02 -> 00:43:05]  use the ABCs, airway, breathing, and circulation
[00:43:05 -> 00:43:08]  to help guide you to the correct option.
[00:43:08 -> 00:43:11]  And although options one, two, and three
[00:43:11 -> 00:43:14]  may be a part of the assessment,
[00:43:14 -> 00:43:17]  option four identifies the priority,
[00:43:17 -> 00:43:20]  so thus is the initial nursing action.
[00:43:22 -> 00:43:24]  Okay, on this next slide,
[00:43:24 -> 00:43:26]  we're gonna turn this over to Angela.
[00:43:27 -> 00:43:31]  And go ahead, you're all set.
[00:43:31 -> 00:43:32]  Thank you, Linda.
[00:43:32 -> 00:43:33]  You're welcome.
[00:43:33 -> 00:43:35]  All right, next question.
[00:43:35 -> 00:43:39]  A client has a prescription for ketoconazole.
[00:43:39 -> 00:43:41]  Which instruction would the nurse teach the client
[00:43:41 -> 00:43:44]  to follow while taking this medication?
[00:43:44 -> 00:43:47]  One, avoid exposure to sunlight.
[00:43:47 -> 00:43:50]  Two, limit alcohol to two ounces per day.
[00:43:50 -> 00:43:53]  Three, take the medication with an antacid.
[00:43:53 -> 00:43:56]  Or four, take the medication on an empty stomach.
[00:44:04 -> 00:44:06]  All right, you guys did fantastic with this one.
[00:44:06 -> 00:44:09]  69% of you chose option one,
[00:44:09 -> 00:44:12]  which is in fact the correct answer.
[00:44:12 -> 00:44:15]  So for this question, we want you to focus on the subject,
[00:44:15 -> 00:44:19]  which is client instructions for this medication.
[00:44:19 -> 00:44:23]  Ketoconazole is an antimicrobial,
[00:44:23 -> 00:44:27]  and it's further classified as an antifungal medication.
[00:44:27 -> 00:44:30]  The client should avoid exposure to sunlight
[00:44:30 -> 00:44:33]  because the medication increases photosensitivity.
[00:44:33 -> 00:44:37]  This is an important point to remember about antimicrobials.
[00:44:37 -> 00:44:41]  And remember, you guys did good, no alcohol on the exam.
[00:44:41 -> 00:44:44]  In addition, the client needs to be instructed
[00:44:44 -> 00:44:46]  to avoid the concurrent use of alcohol
[00:44:46 -> 00:44:50]  because this medication is also hepatotoxic.
[00:44:50 -> 00:44:53]  Antacids should be avoided for two hours
[00:44:53 -> 00:44:55]  after the medication is taken
[00:44:55 -> 00:44:59]  because gastric acid is needed to activate the medication.
[00:44:59 -> 00:45:01]  This medication should be taken with food
[00:45:01 -> 00:45:04]  to prevent GI disturbances.
[00:45:04 -> 00:45:07]  And so just remember to use those general guidelines
[00:45:07 -> 00:45:10]  related to medication administration
[00:45:10 -> 00:45:13]  to eliminate taking the medication with some alcohol
[00:45:13 -> 00:45:16]  and taking the medication with an antacid.
[00:45:16 -> 00:45:18]  And then from the remaining options,
[00:45:18 -> 00:45:20]  it's necessary to know that the medication
[00:45:20 -> 00:45:23]  causes a photosensitivity reaction
[00:45:23 -> 00:45:26]  and should be taken with food because of the GI disturbances.
[00:45:26 -> 00:45:28]  Nice work on that.
[00:45:28 -> 00:45:32]  Next, we have a question on a monoamine oxidase inhibitor.
[00:45:32 -> 00:45:35]  It's a select-all-that-apply question.
[00:45:35 -> 00:45:38]  A client's been prescribed a monoamine oxidase inhibitor,
[00:45:38 -> 00:45:40]  or MAOI.
[00:45:40 -> 00:45:41]  The nurse would tell the client
[00:45:41 -> 00:45:44]  that which foods are acceptable to consume?
[00:45:44 -> 00:45:46]  Select-all-that-apply.
[00:45:46 -> 00:45:53]  1. Figs, 2. Lemon, 3. Bananas, 4. Oranges, 5. Avocado,
[00:45:53 -> 00:45:55]  and 6. Summer squash.
[00:46:05 -> 00:46:07]  All right, so it looks like we've got...
[00:46:07 -> 00:46:09]  We're kind of across the board here,
[00:46:09 -> 00:46:12]  so let's just go over the correct answers.
[00:46:12 -> 00:46:15]  The answer is going to be option 2, lemon,
[00:46:15 -> 00:46:21]  option 4, oranges, and then option 6, summer squash.
[00:46:21 -> 00:46:24]  So if you focus on the subject of the question,
[00:46:24 -> 00:46:30]  which is client instructions about foods to eat with an MAOI,
[00:46:30 -> 00:46:32]  the client taking an MAOI medication
[00:46:32 -> 00:46:36]  should be advised to avoid eating foods
[00:46:36 -> 00:46:38]  that are high in tyramine.
[00:46:38 -> 00:46:42]  The tyramine in foods reacts with the medication,
[00:46:42 -> 00:46:44]  which can cause a hypertensive crisis,
[00:46:44 -> 00:46:47]  and it could prove to be fatal.
[00:46:47 -> 00:46:50]  Fruits and vegetables are naturally low in tyramine,
[00:46:50 -> 00:46:52]  with the exception of figs,
[00:46:52 -> 00:46:55]  and then bananas in large amounts,
[00:46:55 -> 00:46:58]  and then avocados if they're especially overripe,
[00:46:58 -> 00:47:00]  soybeans, and sauerkraut.
[00:47:00 -> 00:47:01]  So you can see 2, 4, and 6
[00:47:01 -> 00:47:05]  are going to be your correct answers here.
[00:47:05 -> 00:47:08]  Okay, so next we've got a question on the medication
[00:47:08 -> 00:47:10]  Isonacid.
[00:47:10 -> 00:47:12]  A client has been prescribed Isonacid
[00:47:12 -> 00:47:16]  in the treatment of tuberculosis or TB.
[00:47:16 -> 00:47:19]  What would the nurse plan to monitor during therapy
[00:47:19 -> 00:47:21]  with this medication?
[00:47:21 -> 00:47:25]  1, vision test results, 2, hepatic enzymes,
[00:47:25 -> 00:47:28]  3, hemoglobin and hematocrit,
[00:47:28 -> 00:47:32]  or 4, the blood urea nitrogen, or BUN, and creatinine.
[00:47:39 -> 00:47:42]  All right, so 44% of you chose option 2,
[00:47:42 -> 00:47:45]  which is the correct answer here.
[00:47:45 -> 00:47:47]  So this medication, Isonacid,
[00:47:47 -> 00:47:51]  there's the risk for hepatotoxicity with this medication,
[00:47:51 -> 00:47:53]  and so for this reason,
[00:47:53 -> 00:47:56]  the client's hepatic enzymes are measured before
